service_id,date,exception_type
341352,20240419,1
308155,20240421,1
308152,20240422,1
341352,20240422,1
308152,20240423,1
341352,20240423,1
308152,20240424,1
341352,20240424,1
308152,20240425,1
341352,20240425,1
308152,20240426,1
341352,20240426,1
308155,20240428,1
308152,20240429,1
341352,20240429,1
308152,20240430,1
341352,20240430,1
308152,20240501,1
341352,20240501,1
308152,20240502,1
341352,20240502,1
308152,20240503,1
341352,20240503,1
308055,20240505,1
308052,20240506,1
341252,20240506,1
308052,20240507,1
341352,20240507,1
308152,20240508,1
341352,20240508,1
308152,20240509,1
341352,20240509,1
308152,20240510,1
341352,20240510,1
308055,20240512,1
308052,20240513,1
341252,20240513,1
308052,20240514,1
341352,20240514,1
308152,20240515,1
341352,20240515,1
308152,20240516,1
341352,20240516,1
308152,20240517,1
341352,20240517,1
308055,20240519,1
308052,20240520,1
341252,20240520,1
308052,20240521,1
341352,20240521,1
308152,20240522,1
341352,20240522,1
308152,20240523,1
341352,20240523,1
308152,20240524,1
341352,20240524,1
308155,20240526,1
308155,20240527,1
55,20240527,1
52,20240527,2
308152,20240528,1
341352,20240528,1
308152,20240529,1
341352,20240529,1
308152,20240530,1
341352,20240530,1
308152,20240531,1
341352,20240531,1
308055,20240602,1
308052,20240603,1
341252,20240603,1
308052,20240604,1
341352,20240604,1
308152,20240605,1
341352,20240605,1
308152,20240606,1
341352,20240606,1
308152,20240607,1
341352,20240607,1
308055,20240609,1
308052,20240610,1
341252,20240610,1
308052,20240611,1
341352,20240611,1
308152,20240612,1
341352,20240612,1
308152,20240613,1
341352,20240613,1
308152,20240614,1
341352,20240614,1
